id,minN,minE,maxN,maxE,byteOffset,vertexCount
1,6360170,332590,6368694,338956,0,242
2,6325658,362816,6339054,373412,1936,508
3,6608670,571164,6619132,579384,6000,76
4,6347700,356474,6357820,365144,6608,495
5,6592654,550416,6602890,560370,10568,759
6,6329474,367560,6342532,385056,16640,971
7,6595596,593494,6607188,603228,24408,67
8,6344270,343700,6352104,350192,24944,347
9,6604346,597996,6612158,605114,27720,94
10,6551490,649200,6551942,649408,28472,7
10,6549202,638608,6557898,649146,28528,171
10,6554640,639470,6556172,640510,29896,10
11,6572286,632766,6581688,642522,29976,68
12,6586182,676052,6600372,690592,30520,189
13,6590764,681260,6608144,701076,32032,227
14,6557906,651486,6567754,656762,33848,111
15,6549396,676770,6568804,695796,34736,248
15,6564890,678140,6565028,678252,36720,8
16,6599232,679422,6615578,694164,36784,260
16,6614626,685672,6614834,685888,38864,23
17,6328954,341078,6335228,351276,39048,130
18,6303778,364782,6305306,369434,40088,24
18,6295296,358550,6304070,368390,40280,472
19,6512682,660448,6550586,679942,44056,220
20,6362812,335488,6373380,344946,45816,339
21,6354122,327492,6360668,342788,48528,335
21,6357222,339716,6357548,340034,51208,10
22,6364054,322682,6384880,340934,51288,481
22,6380436,336116,6380878,336316,55136,13
22,6378040,331894,6378342,332144,55240,6
22,6380856,335916,6381022,336180,55288,7
22,6379636,332190,6379870,332342,55344,14
22,6382808,337832,6383042,337932,55456,6
23,6303322,343416,6310998,352054,55504,76
23,6309866,344898,6310776,345876,56112,13
24,6338284,361532,6349662,371568,56216,548
25,6284800,371696,6306924,389252,60600,940
25,6293862,367000,6294084,367328,68120,23
26,6551170,639126,6551950,640202,68304,8
26,6554640,639470,6556172,640510,68368,10
26,6555956,640970,6557060,641472,68448,28
26,6547018,646140,6558108,654364,68672,169
26,6551490,649200,6551942,649408,70024,7
26,6554614,638472,6556370,639550,70080,12
26,6552204,638798,6553574,640204,70176,15
27,6399224,456194,6410148,462752,70296,724
28,6567618,633728,6576390,647922,76088,98
29,6350100,451162,6350532,451508,76872,43
29,6351278,445212,6360436,458518,77216,904
30,6631800,715472,6643562,745278,84448,130
31,6598552,651816,6609224,660388,85488,55
32,6335656,463446,6335920,463580,85928,14
32,6325592,451716,6344098,463672,86040,424
32,6335530,459762,6335892,460048,89432,8
34,6323584,383596,6335726,389971,89496,712
34,6333304,385002,6333754,385332,95192,11
35,6543598,666770,6561318,682332,95280,156
36,6570936,687478,6599158,719494,96528,313
37,6349958,420210,6360792,430322,99032,692
38,6319802,398668,6320039,398762,104568,15
38,6307966,387466,6319582,401272,104688,626
38,6316152,389506,6317328,391026,109696,31
39,6648038,716350,6648308,716532,109944,13
39,6644900,705858,6671840,725998,110048,287
39,6647876,715870,6648198,716160,112344,13
39,6648022,715342,6648242,715716,112448,17
40,6268690,372612,6281822,380364,112584,472
41,6340500,486380,6357366,496408,116360,597
42,6540414,632512,6558488,642526,121136,231
43,6295230,349052,6307328,358770,122984,510
44,6617424,663690,6626914,671340,127064,198
45,6338312,444366,6354508,457350,128648,1108
45,6350016,451162,6350532,451562,137512,51
45,6345356,451984,6345938,452426,137920,65
45,6348330,451896,6348864,452196,138440,49
45,6346490,451816,6346736,452036,138832,22
46,6312708,367584,6330032,384226,139008,963
47,6416910,488742,6423504,500752,146712,589
48,6769388,500792,6829162,535312,151424,28
49,6677572,452582,6715226,479806,151648,75
50,6648774,506996,6683382,533242,152248,443
51,6745108,443092,6779178,502244,155792,589
51,6818672,445744,6832432,467838,160504,13
52,6671372,399698,6748506,446468,160608,229
53,6635244,512750,6651562,529766,162440,262
55,6736920,374232,6788468,424748,164536,31
56,6711764,465238,6752472,535868,164784,1151
56,6735846,513910,6739220,517162,173992,92
56,6740434,519104,6744182,522874,174728,117
56,6750638,493956,6756450,498704,175664,121
57,6588116,686955,6590990,695781,176632,44
58,6598366,667770,6608526,679260,176984,254
59,6605590,677280,6613260,684134,179016,194
60,6518508,672716,6547758,696690,180568,16
62,6232524,420076,6243686,432482,180696,382
64,6192152,438354,6197096,449252,183752,487
65,7244698,782864,7296614,842692,187648,115
66,6230034,442604,6237378,450538,188568,375
67,7289918,884280,7344146,921088,191568,160
67,7355498,904222,7356050,904822,192848,10
68,6169534,435690,6176250,442212,192928,338
69,7244698,790856,7323642,862936,195632,396
70,6201902,427540,6211282,434258,198800,368
71,6182734,436202,6190766,445352,201744,417
72,7285406,855646,7362590,903134,205080,107
72,7329220,856460,7329448,856560,205936,11
73,6253188,364840,6257860,368818,206024,92
74,6172864,436712,6182586,446646,206760,640
74,6178956,443914,6180420,445656,211880,146
74,6177192,443580,6178580,444458,213048,36
76,6213176,414014,6222004,425492,213336,136
77,7433974,869474,7435070,870752,214424,7
77,7461668,848120,7463564,848652,214480,7
77,7415726,812512,7463488,870920,214536,42
77,7442210,820930,7443792,822466,214872,8
77,7418084,849542,7419832,850834,214936,5
78,6678702,444776,6728708,474594,214976,143
79,6841906,348760,6906906,400486,216120,72
80,6688642,550628,6719920,576786,216696,475
82,6690180,529428,6702158,539716,220496,411
83,6665582,556408,6679990,570022,223784,398
84,6651122,479118,6698148,513234,226968,235
85,6686982,559688,6688384,560374,228848,16
85,6677366,559140,6696676,573784,228976,409
85,6687042,560434,6687570,560850,232248,27
86,6721162,501722,6721804,502506,232464,33
86,6691710,489528,6722470,516584,232728,278
87,6137220,444930,6149256,454764,234952,118
89,6152074,451928,6152126,451992,235896,8
89,6149016,452160,6153932,455558,235960,202
90,7341004,876576,7367062,910686,237576,277
91,6147814,437560,6152268,442474,239792,147
92,7540812,701756,7671056,843234,240968,2767
93,6220582,369548,6227318,375428,263104,199
94,6152100,428142,6157242,434782,264696,353
95,6237422,360886,6245750,368816,267520,241
96,7480950,804450,7533688,842828,269448,252
96,7481054,816908,7482666,818502,271464,5
96,7488352,808804,7491156,810960,271504,6
97,6223262,366780,6231658,373540,271552,160
98,7487856,621344,7617210,822862,272832,1068
99,6170996,430248,6181716,438179,281376,605
100,6352594,327938,6356704,335442,286216,193
101,7319616,546666,7533384,781270,287760,1722
102,6244118,495724,6256282,508254,301536,483
103,6659702,563506,6683478,580976,305400,349
104,6293432,354126,6299262,360160,308192,142
104,6293594,355408,6293640,355484,309328,5
105,6682122,474560,6715226,494096,309368,124
106,7231110,775212,7261252,823466,310360,74
106,7244288,804934,7246420,808948,310952,8
107,6222194,496496,6247422,504438,311016,640
108,6342028,340376,6346088,346476,316136,271
108,6345396,342510,6345454,342594,318304,8
108,6344548,340890,6344606,340954,318368,10
108,6344956,341972,6345012,342030,318448,10
108,6345504,342760,6345576,342860,318528,9
108,6345568,342916,6345616,342970,318600,7
108,6345508,342924,6345548,342990,318656,8
108,6344714,340588,6344748,340620,318720,6
110,6305972,340358,6319764,348596,318768,154
110,6309866,344898,6310776,345876,320000,13
111,6738456,531576,6769030,551168,320104,44
112,6326352,337602,6330786,345414,320456,103
