id,minN,minE,maxN,maxE,byteOffset,vertexCount
1,7487858,621347,7671055,843235,0,1141
2,7215618,714434,7583175,921162,9128,972
3,7319539,546665,7557861,816350,16904,673
4,7231531,516795,7453292,740596,22288,455
5,7109269,476825,7358477,705797,25928,514
6,7086524,468355,7258101,684830,30040,749
7,6924353,526400,7146555,770081,36032,98
8,7034260,677181,7259755,840412,36816,62
9,6825720,348946,6983904,496865,37312,108
10,6887805,493036,6981256,669683,38176,85
11,6905526,348208,7221877,601426,38856,558
12,6762416,483495,6912584,662717,43320,285
13,6635243,348756,6906906,594522,45600,797
14,6671704,561193,6775572,660370,51976,246
15,6548658,590831,6756036,782998,53944,714
16,6510786,313210,6771263,486890,59656,902
17,6562340,462705,6674359,611227,66872,1216
18,6500672,459291,6589769,549051,76600,693
19,6476000,535446,6599641,741925,82144,780
20,6474262,307180,6580214,378692,88384,749
21,6288464,655718,6503068,779524,94376,55
22,6390886,465762,6542415,650152,94816,1007
23,6394357,245159,6558534,337375,102872,909
24,6243616,287510,6391342,405530,110144,850
25,6197196,575718,6374504,651662,116944,41
26,6178018,462256,6262257,576225,117272,957
27,6111060,322015,6271499,481400,124928,648
28,6239645,383597,6459269,644141,130112,2399
29,6335190,275179,6547513,487158,149304,1573
