kingdom	phylum	rank	latin	group	delete	
Animalia		kingdom	Animalia			
Animalia	Acanthocephala	phylum	Acanthocephala	övriga rygradslösa djur	false	
Animalia	Annelida	phylum	Annelida	övriga rygradslösa djur	false	
Animalia	Arthropoda	phylum	Arthropoda		false	
Animalia	Arthropoda	class	Pauropoda	övriga rygradslösa djur	false	
Animalia	Arthropoda	class	Diplopoda	övriga rygradslösa djur	false	
Animalia	Arthropoda	class	Chilopoda	övriga rygradslösa djur	false	
Animalia	Arthropoda	class	Symphyla	övriga rygradslösa djur	false	
Animalia	Arthropoda	class	Entognatha		false	
Animalia	Arthropoda	order	Collembola	övriga insekter	false	
Animalia	Arthropoda	order	Protura	övriga insekter	false	
Animalia	Arthropoda	order	Diplura	övriga insekter	false	
Animalia	Arthropoda	order	Archaeognatha	övriga insekter	false	
Animalia	Arthropoda	order	Blattodea	övriga insekter	false	
Animalia	Arthropoda	order	Coleoptera	skalbaggar	false	
Animalia	Arthropoda	order	Dermaptera	övriga insekter	false	
Animalia	Arthropoda	order	Diptera	tvåvingar	false	
Animalia	Arthropoda	order	Ephemeroptera	övriga insekter	false	
Animalia	Arthropoda	order	Hemiptera	övriga insekter	false	
Animalia	Arthropoda	order	Hymenoptera	steklar	false	
Animalia	Arthropoda	order	Lepidoptera	fjärilar	false	
Animalia	Arthropoda	order	Mantodea	övriga insekter	false	
Animalia	Arthropoda	order	Mecoptera	övriga insekter	false	
Animalia	Arthropoda	order	Megaloptera	övriga insekter	false	
Animalia	Arthropoda	order	Neuroptera	övriga insekter	false	
Animalia	Arthropoda	order	Odonata	övriga insekter	false	
Animalia	Arthropoda	order	Orthoptera	övriga insekter	false	
Animalia	Arthropoda	order	Phthiraptera	övriga insekter	false	
Animalia	Arthropoda	order	Plecoptera	övriga insekter	false	
Animalia	Arthropoda	order	Psocoptera	övriga insekter	false	
Animalia	Arthropoda	order	Raphidioptera	övriga insekter	false	
Animalia	Arthropoda	order	Siphonaptera	övriga insekter	false	
